Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"Agilent Technologies, Inc.","A","-12.99","2.32","2.67","2.98","28.28","26.47","23.75","2.37",".84",".15","3.4","3.93","NYSE","Computer and Technology","10","Electronics - Testing Equipment","13.79","6.35","13.61","20180528","28.454","22819.34"
"Alcoa Corp.","AA","0","3.19","3.56","3.65","16.07","13.6","13.24","1.58","0",".02","0","0","NYSE","Industrial Products","12","Metal Products - Distribution","-15.45","-4","-.39","20180423","16.95599","9003.45"
"Advanced Accelerator Applications S.A.","AAAP","","","","","","","","","0","","","","NSDQ","Medical","12","Medical - Drugs","-238.89","-84.62","-90.22","20180322","0","3589.76"
"Altaba Inc.","AABA","","18.71","","","107.72","","","","0","","","","NSDQ","Finance","12","Financial - Investment Management","12.5","13.64","14.75","20180319","","67739.2"
"AAC Technologies Holdings Inc.","AACAY","0",".67",".9","1.13","35.54","22.55","18.05",".68",".94","","-1.74","-1.2","OTC","Computer and Technology","12","Electronics - Miscellaneous Components","","","","20180328","4.3017","24886.03"
"AIA GROUP LTD","AAGIY","","","","","","","","","1.19",".16","","","OTC","Finance","11","Insurance - Life Insurance","","","","","","104686.27"
"American Airlines Group, Inc.","AAL","112.01","4.83","5.89","7.02","11.53","9.6","8.05",".57",".71",".05","2.27","1.52","NSDQ","Transportation","12","Transportation - Airline","3.26","2.16","3.78","20180426","85.15","26732.34"
"Aaron's,  Inc.","AAN","","2.46","3.42","3.85","19.1","14.28","12.69","",".25",".09","8.96","3.19","NYSE","Retail-Wholesale","12","Retail - Consumer Electronics","20.37","-20.37","9.61","20180427","17.58799","3426.06"
"AAON, Inc.","AAON","0",".97","1.33","1.69","40.21","28.72","22.6","1.91",".68",".13","9.74","3.91","NSDQ","Construction","12","Building Products - Air Conditioner and Heating","-8.33","-6.67","-6.79","20180503","0","2002.95"
"Advance Auto Parts, Inc.","AAP","20.14","5.24","6.71","7.58","22.01","17.64","15.63","1.52",".2",".05","-.37","3.35","NYSE","Retail-Wholesale","12","Automotive - Retail and Wholesale - Parts","18.46","19.17","2.21","20180523","23.41799","8759.75"
"Apple Inc.","AAPL","0","9.01","11.43","12.73","18.68","15.89","14.27","1.37","1.39",".21",".8","-.23","NSDQ","Computer and Technology","9","Computer - Mini computers","1.83","10.7","5.72","20180501","42.56999","922049.69"
