Ticker,Company Name,P/E (F2),PEG Ratio,Div. Yield %,Net Margin,Debt/Total Capital,Last Qtr EPS,Last Reported Qtr ,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),P/E (F1),P/E (Trailing 12 Months),F2 Consensus Est.,Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,# of Analysts in Q2 Consensus,Market Cap 
A,"Agilent Technologies, Inc.",23.57,2.35,0.85,0.15,28.454,0.66,20180101,0,-1.04,1.59,0.58,10,0.63,9,0.64,26.27,28.07,2.98,NYSE,Computer and Technology,10,Electronics - Testing Equipment,13.79,6.35,13.61,20180528,3.93,3.4,-12.99,2.32,2.67,8,22648.3
AA,Alcoa Corp.,12.85,1.53,0,0.02,16.95599,1.04,20171201,-7.8,0,0,1.13,6,0.63,5,0.75,13.19,15.59,3.65,NYSE,Industrial Products,12,Metal Products - Distribution,-15.45,-4,-0.39,20180423,0,0,0,3.19,3.56,4,8737.22
AAAP,Advanced Accelerator Applications S.A.,,,0,,0,-0.61,20170901,,,,-0.18,3,,,,,,,NSDQ,Medical,12,Medical - Drugs,-238.89,-84.62,-90.22,20180322,,,,,,,3589.76
AABA,Altaba Inc.,,,0,,,0.18,20170301,,,,0.16,6,,,,,110.31,,NSDQ,Finance,12,Financial - Investment Management,12.5,13.64,14.75,20180319,,,,18.71,,,69363.68
AACAY,AAC Technologies Holdings Inc.,17.45,0.66,0.97,,4.3017,0.13,20170601,0,,,0.24,1,,,,21.8,34.35,1.13,OTC,Computer and Technology,12,Electronics - Miscellaneous Components,,,,20180328,-1.2,-1.74,0,0.67,0.9,,24055.07
AAGIY,AIA GROUP LTD,,,1.21,0.16,,,,,,,,,,,,,,,OTC,Finance,11,Insurance - Life Insurance,,,,,,,,,,,103056.2
AAL,"American Airlines Group, Inc.",7.82,0.49,0.73,0.05,85.15,0.95,20171201,0,6.12,1.96,0.92,9,0.56,9,2.08,9.31,11.26,7.05,NSDQ,Transportation,12,Transportation - Airline,3.26,2.16,3.78,20180426,2.17,2.82,136.04,4.83,5.93,7,26103.06
AAN,"Aaron's,  Inc.",12.42,,0.25,0.09,17.58799,0.65,20171201,1.66,0.83,5.29,0.55,7,0.95,7,0.85,13.98,18.69,3.85,NYSE,Retail-Wholesale,12,Retail - Consumer Electronics,20.37,-20.37,9.61,20180427,3.19,8.96,,2.46,3.42,7,3353.19
AAON,"AAON, Inc.",22.96,1.94,0.67,0.13,0,0.22,20171201,,0,6.25,0.24,1,0.25,1,0.34,29.17,40.84,1.69,NSDQ,Construction,12,Building Products - Air Conditioner and Heating,-8.33,-6.67,-6.79,20180503,3.91,9.74,0,0.97,1.33,1,2034.41
AAP,"Advance Auto Parts, Inc.",15.45,1.5,0.2,0.05,23.41799,0.77,20171201,0.46,-2.17,2.22,0.64,10,1.98,11,1.86,17.44,21.77,7.58,NYSE,Retail-Wholesale,12,Automotive - Retail and Wholesale - Parts,18.46,19.17,2.21,20180523,3.35,-0.37,20.14,5.24,6.71,10,8662.84
AAPL,Apple Inc.,14.03,1.35,1.41,0.21,42.56999,3.89,20171201,0.31,-0.25,-1.11,3.85,9,2.71,10,2.2,15.62,18.36,12.73,NSDQ,Computer and Technology,9,Computer - Mini computers,1.83,10.7,5.72,20180501,-0.23,0.8,0,9.01,11.43,9,906472.44
AAT,"American Assets Trust, Inc.",15.25,3.05,3.28,0.13,61.08399,0.46,20171201,0,-0.66,-1.96,0.54,4,0.5,4,0.5,16.05,17.23,2.16,NYSE,Finance,12,REIT and Equity Trust - Retail,-14.81,-3.7,-6.72,20180501,-0.61,1.05,-7.62,2,2.05,2,1553.03
AAWW,Atlas Air Worldwide Holdings,9.36,,0,0.1,52.88399,2.43,20171201,2.16,36.31,-9.88,2.13,4,0.57,4,1.03,10.97,12.79,6.71,NSDQ,Transportation,12,Transportation - Air Freight and Cargo,16.83,-4.42,10.99,20180502,6.75,8.4,,4.59,5.72,3,1597.31
AAXN,"TASER International, Inc.",55.97,4.03,0,0.02,0,0.18,20171201,-20,,,-0.04,3,0.04,2,0.08,100.75,128.73,0.69,NSDQ,Industrial Products,12,Security and Safety Services,700,-80,188.33,20180508,116.98,35.29,0,0.1,0.38,2,2048.19
AB,AllianceBernstein Holding L.P.,9.85,1.17,12.8,0.06,0,0.84,20171201,0,4.96,1.75,0.66,2,0.63,2,0.58,10.42,11.41,2.66,NYSE,Finance,12,Financial - Investment Management,27.27,-1.92,8.54,20180426,1.41,0.76,0,2.13,2.52,1,2532.13
ABAX,"Abaxis,Inc.",51.09,12.67,0.86,0.14,0.07111,0.31,20171201,0,1.59,1.89,0.28,4,0.32,4,0.36,64.09,61.44,1.46,NSDQ,Medical,3,Medical - Products,6.9,0,-0.62,20180426,-3.6,4.55,0,1.28,1.16,3,1687.37
ABB,ABB Ltd,15.91,2.51,3.01,0.06,30.415,0.33,20171201,10.2,10.35,7.46,0.27,2,0.32,1,0.36,17.17,19.3,1.52,NYSE,Industrial Products,12,Manufacturing - Electronics,32,13.33,14.12,20180419,2.26,1.11,0,1.18,1.4,1,51604.56
ABBV,AbbVie Inc.,13.2,1.08,2.47,0.19,85.861,1.48,20171201,0.31,0,0.09,1.45,8,1.78,9,1.87,15.32,20.56,8.7,NYSE,Medical,12,Large Cap Pharmaceuticals,2.78,1.44,1.81,20180426,0.26,1.54,0.65,5.56,7.5,6,182505.73
ABC,AmerisourceBergen Corporation (Holding Co),13.25,1.47,1.56,0,61.63,1.55,20171201,1.09,0.05,0,1.36,9,1.81,10,1.57,14.93,16.01,7.35,NYSE,Medical,9,Medical - Dental Supplies,14.81,0.76,5.87,20180503,0.09,0.25,7.05,5.88,6.52,8,21386.97
ABCB,Ameris Bancorp,13.76,,0.7,0.18,29.468,0.63,20171201,-3.17,0,0,0.61,3,0.77,2,0.9,16.34,22.87,4.14,NSDQ,Finance,12,Banks - Southeast,0,-3.08,-1.12,20180420,0,2.14,,2.48,3.48,2,2177.8
ABCZY,Abcam PLC Unsponsored ADR,33.2,,0.42,,,,,,,,,,,,,38.97,,0.54,OTC,Medical,6,Medical - Products,,,,,0,0,,0.33,0.46,,3674.12
ABEV,Ambev S.A.,23.23,,2.09,0.15,7.0689,0.08,20171201,0,,,0.1,1,,,,24.83,31.3,0.31,NYSE,Consumer Staples,12,Beverages - Alcohol,-20,0,-5,20180503,0,-6.06,,0.18,0.29,,113047.93
ABG,"Asbury Automotive Group, Inc.",8.56,0.85,0,0.02,68.635,1.81,20171201,0,4.06,2.51,1.6,7,1.79,6,1.88,9.13,10.64,8.02,NYSE,Retail-Wholesale,12,Automotive - Retail and Whole Sales,13.12,-5.73,2.01,20180426,6.93,6.82,0,6.25,7.52,5,1435.69
ABLYF,ABLYNX NV,,,0,-1.95,,,,0,0,0,-0.21,1,-0.19,1,-0.21,,,-0.98,OTC,Medical,12,Medical - Biomedical and Genetics,,,,20180524,0,0,,-1.19,-1.29,1,4046.48
ABM,ABM Industries Incorporated,14.85,,2.02,0,45.30199,0.26,20180101,-12.5,-13.46,-9.52,0.28,1,0.45,1,0.57,17.93,21.23,2.33,NYSE,Business Services,10,Building Products - Maintenance Service,-7.14,-19.57,-4.13,20180606,-8.1,-11.41,,1.85,1.93,1,2269.05
