Company Name,Ticker,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,# of Analysts in Q0 Consensus,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Month of Fiscal Yr End,Sector,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Last Reported Qtr ,Last Qtr EPS,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Debt/Total Capital,Market Cap 
"Agilent Technologies, Inc.","A",".58",".64","10","9",".65","7","2.32","2.7","2.99","25.46","23.56","21.28","2.11",".94",".15","0",".68","1.12","NYSE","10","Computer and Technology","Electronics - Testing Equipment","13.79","6.35","13.61","20180528","20180101",".66",".86","1.17","1.31","28.454","20525.6"
"Alcoa Corp.","AA",".65",".74","5","4",".9","4","3.19","3.57","3.64","15.96","13.48","13.19","1.56","0",".02","0","-.27",".24","NYSE","12","Industrial Products","Metal Products - Distribution","-15.45","-4","-.39","20180418","20171201","1.04","2.85","-1.66",".28","16.95599","8945.76"
"Advanced Accelerator Applications S.A.","AAAP","-.18","","3","","","","","","","","","","","0","","","","","NSDQ","12","Medical","Medical - Drugs","-238.89","-84.62","-90.22","20180530","20170901","-.61","","","","0","3589.76"
"Altaba Inc.","AABA",".16","","6","","","","18.71","","","270.2","","","","0","","","","","NSDQ","12","Finance","Financial - Investment Management","12.5","13.64","14.75","20180417","20170301",".18","","","","","58996.69"
"AAC Technologies Holdings Inc.","AACAY",".24","","1","","","",".67",".93","1.16","30.42","18.81","15.04",".57","1.1","","0",".96","1.37","OTC","12","Computer and Technology","Electronics - Miscellaneous Components","","","","20180511","20170601",".13","0","","","","21299.46"
"AIA GROUP LTD","AAGIY","","","","","","","","","","","","","","1.2",".16","","","","OTC","11","Finance","Insurance - Life Insurance","","","","","","","","","","8.5431","103720.3"
"American Airlines Group Inc.","AAL",".58","2.1","9","7","1.86","7","4.83","5.94","7.07","10.26","8.46","7.11",".45",".8",".05","11.33",".82","1.24","NSDQ","12","Transportation","Transportation - Airline","3.26","2.16","3.78","20180426","20171201",".95","10.53",".96","-.15","85.15","23794.16"
"Aaron's,  Inc.","AAN",".95",".85","7","7",".71","7","2.46","3.41","3.85","18.28","13.71","12.15","",".26",".09","","0","0","NYSE","12","Retail-Wholesale","Retail - Consumer Electronics","20.37","-20.37","9.61","20180427","20171201",".65","0","0","0","17.58799","3279.6"
"AAON, Inc.","AAON",".25",".34","1","1",".41","1",".97","1.33","1.69","36.11","25.79","20.3","1.72",".76",".13","0","0","0","NSDQ","12","Construction","Building Products - Air Conditioner and Heating","-8.33","-6.67","-6.79","20180503","20171201",".22","0","0","0","0","1798.35"
"Advance Auto Parts, Inc.","AAP","1.98","1.86","11","10","1.75","10","5.24","6.7","7.57","20.8","16.7","14.79","1.35",".21",".05","0","0","0","NYSE","12","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","18.46","19.17","2.21","20180523","20171201",".77","0","0","0","23.41799","8278.88"
